#Results for evolved program
#Output
#X    Expected     Actual
589 3.07617e+08 3.05412e+08
590 3.09185e+08 3.06969e+08
591 3.10758e+08 3.0853e+08
592 3.12336e+08 3.10097e+08
593 3.13919e+08 3.1167e+08
594 3.15508e+08 3.13247e+08
595 3.17102e+08 3.1483e+08
596 3.18702e+08 3.16418e+08
597 3.20307e+08 3.18012e+08
598 3.21917e+08 3.1961e+08
599 3.23533e+08 3.21215e+08
600 3.25154e+08 3.22824e+08
601 3.26781e+08 3.24439e+08
602 3.28413e+08 3.26059e+08
603 3.3005e+08 3.27685e+08
604 3.31693e+08 3.29316e+08
605 3.33341e+08 3.30953e+08
606 3.34995e+08 3.32595e+08
607 3.36654e+08 3.34242e+08
608 3.38319e+08 3.35895e+08
609 3.39989e+08 3.37553e+08
610 3.41665e+08 3.39217e+08
611 3.43346e+08 3.40886e+08
612 3.45032e+08 3.4256e+08
613 3.46724e+08 3.4424e+08
614 3.48422e+08 3.45926e+08
615 3.50125e+08 3.47617e+08
616 3.51834e+08 3.49313e+08
617 3.53548e+08 3.51015e+08
618 3.55268e+08 3.52723e+08
619 3.56993e+08 3.54436e+08
620 3.58724e+08 3.56155e+08
621 3.60461e+08 3.57879e+08
622 3.62203e+08 3.59608e+08
623 3.63951e+08 3.61344e+08
624 3.65704e+08 3.63085e+08
625 3.67463e+08 3.64831e+08
626 3.69228e+08 3.66583e+08
627 3.70998e+08 3.68341e+08
628 3.72774e+08 3.70104e+08
629 3.74556e+08 3.71873e+08
630 3.76343e+08 3.73647e+08
631 3.78136e+08 3.75427e+08
632 3.79935e+08 3.77213e+08
633 3.81739e+08 3.79005e+08
634 3.83549e+08 3.80802e+08
635 3.85365e+08 3.82604e+08
636 3.87186e+08 3.84413e+08
637 3.89013e+08 3.86227e+08
638 3.90846e+08 3.88047e+08
639 3.92685e+08 3.89872e+08
640 3.94529e+08 3.91704e+08
641 3.96379e+08 3.93541e+08
642 3.98235e+08 3.95383e+08
643 4.00097e+08 3.97232e+08
644 4.01965e+08 3.99086e+08
645 4.03838e+08 4.00946e+08
646 4.05717e+08 4.02812e+08
647 4.07602e+08 4.04683e+08
648 4.09493e+08 4.0656e+08
649 4.11389e+08 4.08444e+08
650 4.13292e+08 4.10332e+08
651 4.152e+08 4.12227e+08
652 4.17115e+08 4.14128e+08
653 4.19035e+08 4.16034e+08
654 4.20961e+08 4.17946e+08
655 4.22892e+08 4.19864e+08
656 4.2483e+08 4.21788e+08
657 4.26774e+08 4.23718e+08
658 4.28723e+08 4.25654e+08
659 4.30679e+08 4.27595e+08
660 4.3264e+08 4.29543e+08
661 4.34608e+08 4.31496e+08
662 4.36581e+08 4.33455e+08
663 4.38561e+08 4.35421e+08
664 4.40546e+08 4.37392e+08
665 4.42537e+08 4.39369e+08
666 4.44534e+08 4.41352e+08
667 4.46538e+08 4.43341e+08
668 4.48547e+08 4.45336e+08
669 4.50562e+08 4.47337e+08
670 4.52584e+08 4.49344e+08
671 4.54611e+08 4.51356e+08
672 4.56644e+08 4.53375e+08
673 4.58684e+08 4.554e+08
674 4.60729e+08 4.57431e+08
675 4.62781e+08 4.59468e+08
676 4.64839e+08 4.61511e+08
677 4.66902e+08 4.6356e+08
678 4.68972e+08 4.65615e+08
679 4.71048e+08 4.67676e+08
680 4.7313e+08 4.69744e+08
681 4.75218e+08 4.71817e+08
682 4.77313e+08 4.73896e+08
683 4.79413e+08 4.75982e+08
684 4.8152e+08 4.78074e+08
685 4.83633e+08 4.80171e+08
686 4.85752e+08 4.82275e+08
687 4.87877e+08 4.84385e+08
688 4.90008e+08 4.86501e+08
689 4.92146e+08 4.88624e+08
690 4.9429e+08 4.90752e+08
691 4.9644e+08 4.92887e+08
692 4.98596e+08 4.95028e+08
693 5.00758e+08 4.97175e+08
694 5.02927e+08 4.99328e+08
695 5.05102e+08 5.01487e+08
696 5.07283e+08 5.03653e+08
697 5.09471e+08 5.05825e+08
698 5.11664e+08 5.08003e+08
699 5.13864e+08 5.10187e+08
700 5.16071e+08 5.12378e+08
701 5.18283e+08 5.14575e+08
702 5.20502e+08 5.16778e+08
703 5.22728e+08 5.18987e+08
704 5.24959e+08 5.21203e+08
705 5.27197e+08 5.23425e+08
706 5.29441e+08 5.25653e+08
707 5.31692e+08 5.27888e+08
708 5.33949e+08 5.30129e+08
709 5.36213e+08 5.32376e+08
710 5.38482e+08 5.3463e+08
711 5.40759e+08 5.3689e+08
712 5.43041e+08 5.39156e+08
