#Results for evolved program
#Output
#X    Expected     Actual
606 3.34995e+08 606
607 3.36654e+08 607
608 3.38319e+08 608
609 3.39989e+08 609
610 3.41665e+08 610
611 3.43346e+08 611
612 3.45032e+08 612
613 3.46724e+08 613
614 3.48422e+08 614
615 3.50125e+08 615
616 3.51834e+08 616
617 3.53548e+08 617
618 3.55268e+08 618
619 3.56993e+08 619
620 3.58724e+08 620
621 3.60461e+08 621
622 3.62203e+08 622
623 3.63951e+08 623
624 3.65704e+08 624
625 3.67463e+08 625
626 3.69228e+08 626
627 3.70998e+08 627
628 3.72774e+08 628
629 3.74556e+08 629
630 3.76343e+08 630
631 3.78136e+08 631
632 3.79935e+08 632
633 3.81739e+08 633
634 3.83549e+08 634
635 3.85365e+08 635
636 3.87186e+08 636
637 3.89013e+08 637
638 3.90846e+08 638
639 3.92685e+08 639
640 3.94529e+08 640
641 3.96379e+08 641
642 3.98235e+08 642
643 4.00097e+08 643
644 4.01965e+08 644
645 4.03838e+08 645
646 4.05717e+08 646
647 4.07602e+08 647
648 4.09493e+08 648
649 4.11389e+08 649
650 4.13292e+08 650
651 4.152e+08 651
652 4.17115e+08 652
653 4.19035e+08 653
654 4.20961e+08 654
655 4.22892e+08 655
656 4.2483e+08 656
657 4.26774e+08 657
658 4.28723e+08 658
659 4.30679e+08 659
660 4.3264e+08 660
661 4.34608e+08 661
662 4.36581e+08 662
663 4.38561e+08 663
664 4.40546e+08 664
665 4.42537e+08 665
666 4.44534e+08 666
667 4.46538e+08 667
668 4.48547e+08 668
669 4.50562e+08 669
670 4.52584e+08 670
671 4.54611e+08 671
672 4.56644e+08 672
673 4.58684e+08 673
674 4.60729e+08 674
675 4.62781e+08 675
676 4.64839e+08 676
677 4.66902e+08 677
678 4.68972e+08 678
679 4.71048e+08 679
680 4.7313e+08 680
681 4.75218e+08 681
682 4.77313e+08 682
683 4.79413e+08 683
684 4.8152e+08 684
685 4.83633e+08 685
686 4.85752e+08 686
687 4.87877e+08 687
688 4.90008e+08 688
689 4.92146e+08 689
690 4.9429e+08 690
691 4.9644e+08 691
692 4.98596e+08 692
